id,status,outer_qty,inner_qty,common_unit,item_name,pack_string,vendor,sku,parsed_pack,override_values
4ac67ab3-4cc9-43f5-a680-d5f4112b658f,approved,4,1,gal,Canola Oil,4/1GA,pfg,239717,,
f0529fb8-dbce-4ee8-811d-96ae4fa086e5,approved,6,3,lb,Chopped Garlic,6/3LB,pfg,461896,,
7c1a1bf1-69ae-475a-b6ca-5db0088a3147,approved,1,4,lb,Crushed Red Pepper Bulk,1/4 LB,pfg,264698,,
29a7fb52-a40f-46fb-9633-ec3c02f3b64f,approved,2,1,gal,Degreaser (Dispenser),2/1 GA,pfg,243658,,
b9a416b5-0c8f-42b2-bf98-edd28e1fcd06,approved,20,100,ea,Dessert Bags,20/100 CT,pfg,330237,,
465219bc-ac67-4247-8e41-e7c9da30d403,approved,1,2.5,gal,Vitamin Water XXX BIB 2.5g,1/2.5GA,pfg,436444,,
305515b5-62d9-4cb7-b1dc-06b6524e4856,approved,2,1,gal,Floor Cleaner (Dispenser),2/1 GA,pfg,243637,,
7ffdbd7d-4658-40c3-ba90-415f0dbfbe91,approved,2,1,gal,Quick Dry Rinse Aid (Dispenser),2/1 GA,pfg,243663,,
cd8dffdd-51f3-40c3-b054-56e1df91d5ff,approved,2,1,gal,Quintet Sanitizer (Dispenser),2/1 GA,pfg,244417,,
e4fe3c52-cb51-40e0-8773-574a77c278c3,approved,6,2,lb,Vegan Cheese,6/2.2LB,pfg,1014398,,
6999d174-5783-45ad-97dc-ab4ea4d83fa3,approved,9,50,ea,Meatball Bucket Lid,9/50 CT,pfg,218001,,
88160f1b-a043-4437-8f00-6e4e10264b81,approved,10,250,ea,2 oz Portion Cups,10/250 CT,pfg,869787,,
e48730a7-6c61-4bac-a36b-ddcacfc55733,approved,6,10,lb,Pineapple Tidbits (Produce Alliance),6/10 LB,produce_alliance,31363,,
ceeb0f54-a554-4e28-a4bb-31b17d96a0c3,approved,6,1,qt,Restroom Cleaner w/Bleach (Bottle),6/1 QT,pfg,243671,,
ff9eccf2-54b7-4198-8678-86a8ea874196,approved,1,250,ea,To-Go Bags with Handle,1/250 CT,pfg,360400,,
a38ffd38-c5f2-4062-911e-da660a28609e,approved,2,5,lb,Vegan Chorizo,2/5 LB,pfg,621183,,
0e8300de-d8c6-49b7-9b35-2653c5ea0413,approved,20,50,ea,Water Cups,20/50CT,pfg,579979,,
e64a28a4-7ab6-4660-a8a5-428b35c4d8fc,approved,10,100,ea,X-Large Gloves,10/100 CT,pfg,609006,,
c411bbee-5b5c-4ac0-b016-90e85c1083d5,approved,8,4,lb,White Sauce,8/4 LB,pfg,1043126,,
776c7bc0-7722-4829-acfc-7a29bbb58afe,approved,4,3,lb,Roasted Broccoli,4/3 LB,produce_alliance,10575,,
f905b757-d8ce-4186-8ade-7d2dcbb58f0e,approved,1,1000,ea,Knives,1/1000CT,pfg,707270,,
43383b12-9010-47c3-9298-4c06e095f82f,approved,20,125,ea,3 oz Portion Lids,20/125CT,pfg,870045,,
973abff1-920f-4288-9f56-42c1eb1283fd,approved,4,500,ea,Straws (Individually Wrapped Style),4/500CT,pfg,1046834,,
bb73ee4d-2176-4f84-91da-6eb4c4e4cf72,approved,1,2.5,lb,Baby Spinach,1/2.5 LB,produce_alliance,1249,,
28c33956-6c2f-43e8-802d-a4eee5c1b7da,approved,12,72,ea,Sanitizer Wipes,12/72 CT,pfg,557764,,
300fddef-3008-4ff0-81da-8691982b8d51,approved,1,5,oz,Tabasco Sauce,1/5 OZ,pfg,479695,,
7675d31f-7ed1-44f7-bf26-a0c7e922255d,approved,4,158,oz,BBQ Sauce,4/158 OZ,pfg,515836,,
89fdd74e-9ffc-4dfe-96e4-89cb25560682,approved,1,10,lb,Grape Tomatoes,1/10 LB,produce_alliance,1310,,
b39248aa-94a4-48ac-8a38-d6fca00d2a95,approved,6,4,lb,Crushed Red Pepper Bulk,6/4 LB,pfg,261442,,
5ed93e4b-9560-4733-9740-6c4cc6253412,approved,20,1,lb,Yeast,20/1 LB,pfg,978733,,
b27ad6f3-86e4-47e9-a9fd-09433a7c9ed4,approved,4,5,lb,Red Onions,4/5 LB,produce_alliance,71927,,
